mix_type,mix,cpu,trace,ipc,instructions,cycles,time_ms,time_us
mix32,mix32_1,0,644.nab_s-7928B.champsimtrace.xz,2.09,200000000,95673790,23.335071,23335.071
mix32,mix32_1,1,600.perlbench_s-210B.champsimtrace.xz,2.675,200000005,74770482,18.236703,18236.703
mix32,mix32_1,2,625.x264_s-12B.champsimtrace.xz,4.613,200000000,43357197,10.574926,10574.926
mix32,mix32_1,3,623.xalancbmk_s-325B.champsimtrace.xz,1.348,200000002,148327535,36.177448,36177.448
mix32,mix32_1,4,648.exchange2_s-1699B.champsimtrace.xz,3.948,200000004,50656272,12.355188,12355.188
mix32,mix32_1,5,648.exchange2_s-1227B.champsimtrace.xz,3.647,200000005,54842196,13.376145,13376.145
mix32,mix32_1,6,654.roms_s-1021B.champsimtrace.xz,3.052,200000004,65529556,15.982819,15982.819
mix32,mix32_1,7,603.bwaves_s-5359B.champsimtrace.xz,3.555,200000002,56259182,13.721752,13721.752
mix32,mix32_1,8,638.imagick_s-10316B.champsimtrace.xz,4.662,200000001,42897319,10.462761,10462.761
mix32,mix32_1,9,600.perlbench_s-210B.champsimtrace.xz,2.673,200000002,74835057,18.252453,18252.453
mix32,mix32_1,10,623.xalancbmk_s-325B.champsimtrace.xz,1.347,200000000,148432250,36.202988,36202.988
mix32,mix32_1,11,641.leela_s-149B.champsimtrace.xz,1.851,200000000,108030241,26.348839,26348.839
mix32,mix32_1,12,600.perlbench_s-210B.champsimtrace.xz,2.675,200000004,74755419,18.233029,18233.029
mix32,mix32_1,13,621.wrf_s-8100B.champsimtrace.xz,1.374,200000001,145603727,35.513104,35513.104
mix32,mix32_1,14,644.nab_s-7928B.champsimtrace.xz,2.09,200000001,95689225,23.338835,23338.835
mix32,mix32_1,15,641.leela_s-602B.champsimtrace.xz,1.742,200000004,114789802,27.997513,27997.513
mix32,mix32_1,16,623.xalancbmk_s-325B.champsimtrace.xz,1.326,200000002,150780288,36.77568,36775.68
mix32,mix32_1,17,644.nab_s-12459B.champsimtrace.xz,3.057,200000004,65433036,15.959277,15959.277
mix32,mix32_1,18,648.exchange2_s-387B.champsimtrace.xz,3.347,200000000,59746409,14.572295,14572.295
mix32,mix32_1,19,600.perlbench_s-1273B.champsimtrace.xz,2.666,200000001,75029259,18.299819,18299.819
mix32,mix32_1,20,648.exchange2_s-387B.champsimtrace.xz,3.347,200000003,59746273,14.572262,14572.262
mix32,mix32_1,21,648.exchange2_s-1247B.champsimtrace.xz,3.897,200000001,51322951,12.517793,12517.793
