mix_type,mix,cpu,trace,l1d_flush_stall_cycles,l1d_flush_stall_ns,l2c_flush_stall_cycles,l2c_flush_stall_ns
mix32,mix32_1,0,644.nab_s-7928B.champsimtrace.xz,170,41.463,2331,568.537
mix32,mix32_1,1,600.perlbench_s-210B.champsimtrace.xz,97,23.659,3023,737.317
mix32,mix32_1,2,625.x264_s-12B.champsimtrace.xz,321,78.293,24824,6054.634
mix32,mix32_1,3,623.xalancbmk_s-325B.champsimtrace.xz,92,22.439,26101,6366.098
mix32,mix32_1,4,648.exchange2_s-1699B.champsimtrace.xz,197,48.049,0,0.0
mix32,mix32_1,5,648.exchange2_s-1227B.champsimtrace.xz,252,61.463,0,0.0
mix32,mix32_1,6,654.roms_s-1021B.champsimtrace.xz,64,15.61,10369,2529.024
mix32,mix32_1,7,603.bwaves_s-5359B.champsimtrace.xz,583,142.195,30635,7471.951
mix32,mix32_1,9,600.perlbench_s-210B.champsimtrace.xz,90,21.951,3012,734.634
mix32,mix32_1,10,623.xalancbmk_s-325B.champsimtrace.xz,105,25.61,26122,6371.22
mix32,mix32_1,11,641.leela_s-149B.champsimtrace.xz,281,68.537,20444,4986.341
mix32,mix32_1,12,600.perlbench_s-210B.champsimtrace.xz,95,23.171,3016,735.61
mix32,mix32_1,13,621.wrf_s-8100B.champsimtrace.xz,314,76.585,20398,4975.122
mix32,mix32_1,14,644.nab_s-7928B.champsimtrace.xz,144,35.122,2344,571.707
mix32,mix32_1,15,641.leela_s-602B.champsimtrace.xz,310,75.61,20959,5111.951
mix32,mix32_1,16,623.xalancbmk_s-325B.champsimtrace.xz,0,0.0,26070,6358.537
mix32,mix32_1,17,644.nab_s-12459B.champsimtrace.xz,0,0.0,21914,5344.878
mix32,mix32_1,18,648.exchange2_s-387B.champsimtrace.xz,196,47.805,0,0.0
mix32,mix32_1,19,600.perlbench_s-1273B.champsimtrace.xz,306,74.634,10936,2667.317
mix32,mix32_1,20,648.exchange2_s-387B.champsimtrace.xz,196,47.805,0,0.0
mix32,mix32_1,21,648.exchange2_s-1247B.champsimtrace.xz,196,47.805,0,0.0
mix32,mix32_1,22,625.x264_s-39B.champsimtrace.xz,315,76.829,16924,4127.805
mix32,mix32_1,24,657.xz_s-3167B.champsimtrace.xz,325,79.268,28010,6831.707
mix32,mix32_1,25,625.x264_s-39B.champsimtrace.xz,301,73.415,17521,4273.415
mix32,mix32_1,26,603.bwaves_s-5359B.champsimtrace.xz,583,142.195,30809,7514.39
mix32,mix32_1,27,603.bwaves_s-5359B.champsimtrace.xz,585,142.683,30787,7509.024
mix32,mix32_1,28,649.fotonik3d_s-1B.champsimtrace.xz,514,125.366,26148,6377.561
mix32,mix32_1,29,644.nab_s-12521B.champsimtrace.xz,21,5.122,870,212.195
mix32,mix32_1,30,648.exchange2_s-387B.champsimtrace.xz,196,47.805,0,0.0
mix32,mix32_1,31,648.exchange2_s-1699B.champsimtrace.xz,197,48.049,0,0.0
mix32,mix32_10,1,625.x264_s-18B.champsimtrace.xz,225,54.878,17662,4307.805
mix32,mix32_10,2,600.perlbench_s-1273B.champsimtrace.xz,97,23.659,11733,2861.707
mix32,mix32_10,3,648.exchange2_s-210B.champsimtrace.xz,195,47.561,0,0.0
mix32,mix32_10,4,644.nab_s-5853B.champsimtrace.xz,141,34.39,1178,287.317
mix32,mix32_10,5,625.x264_s-12B.champsimtrace.xz,142,34.634,21206,5172.195
mix32,mix32_10,6,648.exchange2_s-1699B.champsimtrace.xz,197,48.049,0,0.0
mix32,mix32_10,7,641.leela_s-602B.champsimtrace.xz,291,70.976,20995,5120.732
mix32,mix32_10,9,600.perlbench_s-1273B.champsimtrace.xz,96,23.415,11712,2856.585
mix32,mix32_10,10,603.bwaves_s-3699B.champsimtrace.xz,524,127.805,26630,6495.122
mix32,mix32_10,11,654.roms_s-1021B.champsimtrace.xz,61,14.878,10004,2440.0
mix32,mix32_10,12,654.roms_s-1613B.champsimtrace.xz,371,90.488,14702,3585.854
mix32,mix32_10,13,641.leela_s-602B.champsimtrace.xz,219,53.415,20606,5025.854
mix32,mix32_10,14,648.exchange2_s-72B.champsimtrace.xz,197,48.049,0,0.0
mix32,mix32_10,15,641.leela_s-862B.champsimtrace.xz,126,30.732,3902,951.707
mix32,mix32_10,16,607.cactuBSSN_s-4004B.champsimtrace.xz,0,0.0,5699,1390.0
mix32,mix32_10,17,607.cactuBSSN_s-3477B.champsimtrace.xz,1,0.244,5434,1325.366
mix32,mix32_10,18,625.x264_s-20B.champsimtrace.xz,167,40.732,21755,5306.098
mix32,mix32_10,19,654.roms_s-1613B.champsimtrace.xz,372,90.732,14826,3616.098
mix32,mix32_10,20,648.exchange2_s-387B.champsimtrace.xz,196,47.805,0,0.0
mix32,mix32_10,21,649.fotonik3d_s-1B.champsimtrace.xz,522,127.317,30185,7362.195
mix32,mix32_10,22,654.roms_s-1613B.champsimtrace.xz,370,90.244,14504,3537.561
mix32,mix32_10,23,623.xalancbmk_s-325B.champsimtrace.xz,108,26.341,29768,7260.488
mix32,mix32_10,24,623.xalancbmk_s-700B.champsimtrace.xz,0,0.0,27173,6627.561
mix32,mix32_10,25,603.bwaves_s-5359B.champsimtrace.xz,590,143.902,30261,7380.732
mix32,mix32_10,26,648.exchange2_s-353B.champsimtrace.xz,197,48.049,0,0.0
mix32,mix32_10,27,654.roms_s-1021B.champsimtrace.xz,59,14.39,10426,2542.927
mix32,mix32_10,28,631.deepsjeng_s-928B.champsimtrace.xz,203,49.512,26430,6446.341
mix32,mix32_10,29,644.nab_s-12521B.champsimtrace.xz,126,30.732,19140,4668.293
mix32,mix32_10,30,607.cactuBSSN_s-4004B.champsimtrace.xz,0,0.0,5637,1374.878
mix32,mix32_10,31,654.roms_s-293B.champsimtrace.xz,69,16.829,342,83.415
mix32,mix32_2,0,641.leela_s-602B.champsimtrace.xz,312,76.098,20730,5056.098
mix32,mix32_2,1,657.xz_s-4994B.champsimtrace.xz,463,112.927,30689,7485.122
mix32,mix32_2,2,627.cam4_s-573B.champsimtrace.xz,243,59.268,24680,6019.512
mix32,mix32_2,3,641.leela_s-800B.champsimtrace.xz,103,25.122,23097,5633.415
mix32,mix32_2,4,648.exchange2_s-72B.champsimtrace.xz,197,48.049,0,0.0
mix32,mix32_2,5,644.nab_s-12521B.champsimtrace.xz,130,31.707,18606,4538.049
mix32,mix32_2,6,649.fotonik3d_s-1B.champsimtrace.xz,515,125.61,29349,7158.293
mix32,mix32_2,7,641.leela_s-862B.champsimtrace.xz,123,30.0,3633,886.098
mix32,mix32_2,8,648.exchange2_s-1247B.champsimtrace.xz,196,47.805,0,0.0
mix32,mix32_2,9,600.perlbench_s-570B.champsimtrace.xz,125,30.488,11206,2733.171
mix32,mix32_2,10,623.xalancbmk_s-592B.champsimtrace.xz,0,0.0,27839,6790.0
mix32,mix32_2,11,625.x264_s-18B.champsimtrace.xz,0,0.0,24085,5874.39
mix32,mix32_2,12,603.bwaves_s-3699B.champsimtrace.xz,546,133.171,25715,6271.951
mix32,mix32_2,13,623.xalancbmk_s-592B.champsimtrace.xz,67,16.341,27739,6765.61
mix32,mix32_2,14,603.bwaves_s-5359B.champsimtrace.xz,582,141.951,29672,7237.073
mix32,mix32_2,15,625.x264_s-18B.champsimtrace.xz,0,0.0,23432,5715.122
mix32,mix32_2,16,644.nab_s-5853B.champsimtrace.xz,139,33.902,1255,306.098
mix32,mix32_2,17,627.cam4_s-573B.champsimtrace.xz,600,146.341,25055,6110.976
mix32,mix32_2,18,627.cam4_s-573B.champsimtrace.xz,599,146.098,24854,6061.951
mix32,mix32_2,19,623.xalancbmk_s-325B.champsimtrace.xz,187,45.61,27090,6607.317
mix32,mix32_2,20,625.x264_s-12B.champsimtrace.xz,439,107.073,22465,5479.268
mix32,mix32_2,21,654.roms_s-842B.champsimtrace.xz,377,91.951,16104,3927.805
mix32,mix32_2,22,644.nab_s-7928B.champsimtrace.xz,177,43.171,1780,434.146
mix32,mix32_2,23,644.nab_s-12521B.champsimtrace.xz,131,31.951,18232,4446.829
mix32,mix32_2,25,648.exchange2_s-1699B.champsimtrace.xz,197,48.049,0,0.0
