mix_type,mix,max_l1d_flush_cycles,max_l1d_flush_ns,max_l2c_flush_cycles,max_l2c_flush_ns,llc_flush_cycles,llc_flush_ns,total_flush_cycles,total_flush_ns
mix32,mix32_1,585,142.683,30809,7514.39,0,0.0,31394,7657.073
mix32,mix32_10,590,143.902,30261,7380.732,0,0.0,30851,7524.634
mix32,mix32_2,600,146.341,30689,7485.122,0,0.0,31289,7631.463
mix32,mix32_3,675,164.634,32216,7857.561,0,0.0,32891,8022.195
mix32,mix32_4,673,164.146,32222,7859.024,0,0.0,32895,8023.171
mix32,mix32_5,574,140.0,29138,7106.829,0,0.0,29712,7246.829
mix32,mix32_6,666,162.439,32223,7859.268,0,0.0,32889,8021.707
mix32,mix32_7,667,162.683,32218,7858.049,0,0.0,32885,8020.732
mix32,mix32_8,666,162.439,32222,7859.024,0,0.0,32888,8021.463
mix32,mix32_9,584,142.439,29967,7309.024,0,0.0,30551,7451.463
mix16,mix16_1,587,172.647,19572,5756.471,0,0.0,20159,5929.118
mix16,mix16_10,318,93.529,17053,5015.588,0,0.0,17371,5109.118
mix16,mix16_2,580,170.588,19732,5803.529,0,0.0,20312,5974.118
mix16,mix16_3,581,170.882,19644,5777.647,0,0.0,20225,5948.529
mix16,mix16_4,456,134.118,14832,4362.353,0,0.0,15288,4496.471
mix16,mix16_5,669,196.765,20187,5937.353,0,0.0,20856,6134.118
mix16,mix16_6,584,171.765,19615,5769.118,0,0.0,20199,5940.882
mix16,mix16_7,667,196.176,20184,5936.471,0,0.0,20851,6132.647
mix16,mix16_8,438,128.824,14620,4300.0,0,0.0,15058,4428.824
mix16,mix16_9,580,170.588,18870,5550.0,0,0.0,19450,5720.588
